1	3	5
452	474	552
457	502	535
502	533	535
533	613	535
533	555	613
485	573	596
596	536	485
596	651	536
651	670	536
651	844	670
844	725	670
844	830	725
830	643	725
573	630	596
573	582	630
486	559	514
514	392	486
559	606	514
486	550	559
550	631	559
550	560	631
560	621	631
560	554	621
560	550	554
550	523	554
523	551	554
523	513	551
513	540	551
513	490	540
550	486	523
508	615	544
544	499	508
499	459	508
544	671	499
544	615	671
534	574	592
592	617	534
534	483	574
537	716	693
541	611	593
611	666	593
666	607	593
611	750	666
611	719	750
541	612	611
545	601	730
601	747	730
601	677	747
547	609	628
609	637	628
637	717	628
717	688	628
637	751	717
751	825	717
751	826	825
826	884	825
884	895	825
826	911	884
826	824	911
826	767	824
767	749	824
826	751	767
637	609	751
548	565	676
676	575	548
676	724	575
724	679	575
724	771	679
724	836	771
676	698	724
676	709	698
549	561	600
561	595	600
600	584	549
600	632	584
632	610	584
610	551	584
632	727	610
727	711	610
711	703	610
727	769	711
727	765	769
765	808	769
727	632	765
553	647	639
639	598	553
563	642	566
563	662	642
662	786	642
567	591	675
591	667	675
588	649	629
649	700	629
700	686	629
686	634	629
686	701	634
649	605	700
605	762	700
762	866	700
762	940	866
940	1018	866
940	1076	1018
1076	1182	1018
1076	1240	1182
1240	1303	1182
1303	1210	1182
1303	1302	1210
1302	1204	1210
1302	1239	1204
1239	1230	1204
1239	1260	1230
1260	1122	1230
1260	1187	1122
1187	1057	1122
1057	1030	1122
1239	1302	1260
1302	1415	1260
1302	1554	1415
1554	1510	1415
1240	1397	1303
1397	1449	1303
1397	1478	1449
1397	1314	1478
1314	1507	1478
1507	1596	1478
1507	1690	1596
1690	1739	1596
1690	1860	1739
1860	1852	1739
1860	2059	1852
1690	1806	1860
1806	1896	1860
1806	1814	1896
1806	1797	1814
1797	1720	1814
1797	1715	1720
1797	1806	1715
1806	1655	1715
1806	1690	1655
1690	1558	1655
1690	1507	1558
1507	1330	1558
1330	1369	1558
1369	1551	1558
1330	1252	1369
1252	1208	1369
1208	1185	1369
1185	1354	1369
1330	1256	1252
1330	1323	1256
1330	1507	1323
1507	1314	1323
1397	1279	1314
1397	1248	1279
1397	1240	1248
1240	1076	1248
616	714	744
714	761	744
627	759	681
759	785	681
785	677	681
785	820	677
759	876	785
876	906	785
876	973	906
759	831	876
697	729	882
729	926	882
729	788	926
737	817	846
846	765	737
772	811	806
772	812	811
812	865	811
865	896	811
896	806	811
896	950	806
865	931	896
773	857	779
777	835	794
784	851	843
789	960	834
807	899	890
899	952	890
807	856	899
822	847	879
847	1007	879
847	1041	1007
823	853	878
853	977	878
853	854	977
854	976	977
841	885	915
885	947	915
947	883	915
883	841	915
883	745	841
947	1012	883
947	1032	1012
947	885	1032
885	1068	1032
1068	1110	1032
1068	1222	1110
1068	1226	1222
1226	1320	1222
1320	1386	1222
1386	1378	1222
1386	1638	1378
1386	1473	1638
1386	1320	1473
860	904	968
861	913	982
862	922	1003
922	936	1003
936	986	1003
986	1134	1003
1134	1149	1003
1149	1025	1003
1025	889	1003
1025	904	889
1149	1138	1025
1149	1273	1138
1273	1258	1138
1258	1219	1138
1219	1062	1138
1219	1198	1062
1198	1077	1062
1077	991	1062
991	968	1062
1077	970	991
970	903	991
1077	1185	970
1185	1022	970
1022	960	970
1219	1353	1198
1353	1433	1198
1433	1354	1198
1353	1514	1433
1219	1258	1353
1273	1411	1258
1273	1391	1411
1391	1475	1411
1475	1508	1411
1475	1522	1508
1391	1340	1475
1340	1531	1475
1340	1403	1531
1391	1273	1340
1273	1149	1340
986	1043	1134
1043	1147	1134
1147	1201	1134
1147	1365	1201
1365	1345	1201
1365	1406	1345
1365	1419	1406
1419	1470	1406
1419	1438	1470
1438	1502	1470
1438	1360	1502
1438	1419	1360
1419	1365	1360
1365	1255	1360
1043	1125	1147
877	910	984
880	951	942
914	935	1005
914	779	935
1005	1027	914
919	1060	1102
919	1057	1060
920	954	937
920	980	954
954	1001	937
1001	1023	937
937	805	920
937	939	805
921	987	1026
921	844	987
844	924	987
924	957	987
924	1102	957
930	948	934
948	856	934
945	961	1096
1096	974	945
949	1036	1160
